id,text,option1,option2,option3
11040005,快要遲到的新生一邊丟下吃到一半的麵包，一邊走小路快速從草叢中穿過。果然，附近的許褚同學憤怒地朝新生走了過去。學長認為許褚接下來最可能說什麼？,麵包怎麼只吃了一半就扔掉了？不要浪費糧食啊！,作為新生，你怎麼可以來得這麼晚？太不守紀律了！,你這傢伙，竟敢踐踏我辛苦栽培的花草！看我怎麼教訓你！
11040006,克瑞絲同學尾巴上的水晶名字叫？,奇跡水晶,真知水晶,火神之目
11040007,學院中開了一家飯店，由於沒有良好的宣傳管道，生意比較慘澹。一天，店長找上你，希望拜託你在曇華學院中邀請一位同學為這家飯店做宣傳，你覺得邀請下面哪位同學最適合呢？,赤蓮,克瑞絲,劉備
11040008,曇華學院中，有一位同學擔任著每月發放補貼並記錄財政支出的重任，這位同學是？,諸葛亮,薇拉,袁術
11040009,火山之行後，來到幽夢學院定居的赤蓮同學是哪個使魔部落的巫女？,大尾喵,芙羅拉,森之守護
11040010,呂蒙同學有一位非常崇拜的學姐。在呂蒙被混沌體徵患者圍攻時，是這位同學挺身而出，將呂蒙從危機中救出。這位同學是？,關羽,魏延,張飛
11040011,諸葛亮同學屬於以下哪個組織？,風紀委員會,學生會,DEF
11040012,幽夢軍是由[理]創建、對抗混沌的軍隊，也是幽夢學園的前身，銀月、巴妮拉、龐統等女武神都曾是幽夢軍的成員。其中，呂玲綺同學在幽夢軍曾屬於哪個部隊？,風,華,綺
11040013,路西法是樂隊Shining Band的主唱，曾帶領樂隊參加了[音樂夢幻祭]。曇華學院的以下同學中，哪兩位也是該樂隊的成員？,蔡文姬和黃忠,許諸和諸葛亮,凱茜和呂玲綺
11040014,曇華學院中，劉備同學曾與張飛、關羽兩位同學一起創立了一個樂隊，這個樂隊的名字是？,桃苑樂隊,桃園樂隊,桃源樂隊
11040015,戰姬秘事：槲寄生同學平時非常膽小，說話小聲、禮貌，還有些結結巴巴，但當她談論起某一話題時，會變得大膽而熱情，這個話題是？,自由,生命,愛情
11040016,戰姬秘事：薇拉同學的料理營養價值豐富，但外觀與味道實在讓人難以接受，甚至可以媲美「殺人武器」。為了做出讓同學們身體更健康的料理，薇拉曾向一位同學請教藥草知識，這個人是？,于吉,華佗,左慈
11040017,戰姬秘事：凱茜的殺手才能是天生的，乾淨俐落、一擊必殺是她的美學，凱茜的暗殺技術對地形有較大的依賴，因此當地形受限時，暗殺術輸給某人的感覺讓凱茜很不爽，這個某人是？,暗月,銀月,郭嘉
11040018,戰姬秘事：諸葛亮同學雖然平時看起來運籌帷幄、說話老成，但實際上是個很需要朋友、很怕寂寞的少女。諸葛亮曾追尋著偶然聽到的悅耳琴聲加入音樂社，結交到了一位擅長彈琴的好友，這位擅長彈琴的同學是？,阿帕忒,米迦勒,周瑜
11040019,赤蓮同學是大尾喵部落的巫女，在主角一行的火山之旅後帶著大尾喵一族來到幽夢學院定居。以下哪一句話，最有可能是曇華學院的赤蓮同學說的？,阿姆姆姆，我還能吃，全都吃完~,小魚乾，好吃喵！,再遲到的話，老師就要吃、掉、你囉~
11040020,風見學院舉辦了一場技術交流會，研究魯班曾在學院中留下的各項機關技術。學長認為曇華學院派哪位同學前往更適合呢？,克瑞絲,黃忠,諸葛亮
12040001,在戰鬥中，曇華學院的戰姬對哪個學院的戰姬有額外的克制效果？,隱蹤學院,風見學院,神威學院
12040002,使用曇華學院的同學攻擊神威學院的同學時有什麼效果？,造成額外傷害30%，增加15%精準,增加15%暴擊和25%暴擊傷害,沒有效果
12040003,當一個隊伍中編入了六個曇華學院的同學時，會觸發怎樣的陣營光環？,生命+20%，精準+18%,生命+20%，攻擊+15%,生命+20%，格擋+30%
12040004,曇華學院的呂玲綺同學會給敵方施加狂蜂印記，狂蜂印記有以下哪種效果呢？,攜帶狂蜂印記的敵方受到攻擊時，會受到額外傷害。,攜帶狂蜂印記的敵方受到傷害時，傷害會濺射到周圍的敵方身上。,攜帶狂蜂印記的敵方死亡時，會對全體敵方造成傷害。
12040005,曇華學院中有一位同學可以在回合結束後隨機清除自身一種控制效果，面對擅長造成控制效果的敵方有很大優勢，這位同學是？,凱茜,諸葛亮,槲寄生
12040006,有些敵人的主動技能十分棘手，想將這類敵人沉默，讓她們不能釋放主動技能，可以使用以下曇華學院中的哪一位同學呢？,黃忠,赤蓮,呂蒙
12040007,曇華學院中，赤蓮同學的普通攻擊、主動技能以及被控制時，都會對敵方造成燃燒傷害，以下哪位同學可以與赤蓮同學配合呢？,龍胤·曹操,周瑜,加百列
12040008,曇華學院的刺客中，有一位同學不止攻擊力高強，還能為自己和友方恢復生命，這位同學是？,呂玲綺,凱茜,劉表
12040009,曇華學院中，薇拉同學可以將敵人縮小，使被縮小敵人受到的傷害增加、造成的傷害減少。此外，在滿足某個條件時，敵方還會受到基於自身生命上限的傷害，敵方進行以下哪個行為後，將會觸發該傷害？,進行普通攻擊,受到燃燒傷害,受到控制效果
12040010,當敵方被曇華學院的克瑞絲同學施加結晶效果後，能夠進行以下哪種行為？,釋放主動技能，進行普通攻擊,進行追擊或反擊,以上都不能
11060001,在學院招生儀式上，擔任辰星學院考核官的同學是誰？,米迦勒,華佗,加百列
11060002,有一間音樂練習室裡放著一張巨大的豎琴，可能是哪位同學的專用練習室？,龐統,加百列,烏列爾
11060003,按照米迦勒同學在分院考核上的說法，辰星學院最歡迎有著以下哪種特質的同學加入？,自由,神秘,正義
11060004,辰星學院中，有一位同學在魏延和呂蒙入學的那一學年擔任學姐代表，這位同學是？,米迦勒,龐統,水鏡
11060005,以下三位辰星學院的同學中，哪一位同學沒有翅膀？,水鏡,后羿,龐統
11060006,辰星學院中，有一位同學表面上是新聞社的記者，實際上卻是守衛校園的巡夜人，這位同學是？,華佗,烏列爾,加百列
11060007,嫦娥同學遇到了一些麻煩，向以下哪位同學求助時最有可能得到幫助呢？,后羿,德古拉,于吉
11060008,關於米迦勒與路西法在融合時的稱呼，除了路西菲爾之外，米迦勒還中意一個名字，這個名字是？,希多,米法,露咪
11060009,如果學園內發生了混沌體征事件，學長想要把受傷的學妹帶去給華佗治療，最應該去什麼地方呢？,圖書館,教室,醫務室
11060010,你好像聽見了有人吵架的聲音，走過去一看，卻發現只是一位辰星學院的同學在自言自語，這位同學是？,華佗,后羿,路西菲爾
11060011,幽夢軍是由「理」創建、對抗混沌的軍隊，也是幽夢學園的前身。龐統同學曾經也是幽夢軍的成員，她屬於哪個部隊？,風,華,麗
11060012,華佗同學曾經開發了一種高效麻醉劑，讓敵人和同伴都聞之色變，學長知道這種麻醉劑的名字嗎？,還魂丹,麻沸散,鶴頂紅
11060013,學長初次見到龐統是在烏布羅斯大圖書館，她帶著復仇的烈焰降臨學園，對某人發起了義無反顧的進攻。龐統想要復仇的對象是？,圖靈,銀月,呂布
11060014,戰姬秘事：水鏡同學有嚴重的潔癖，厭惡污穢與邪惡，她每天要洗三次澡，最喜歡的食物是奶油布丁，討厭髒髒的、黑色的東西。學長知道水鏡同學最討厭的食物是什麼嗎？,巧克力蛋糕,芒果千層,草莓蛋糕
11060015,你在圖書館悠然地看著書，這時，龐統同學第三次從你面前經過，你攔住龐統問她為什麼在圖書館裡走來走去，龐統對你說：,我當然是想看看親愛的什麼時候才會注意到我,學長，我又迷路了……,我在圖書館捉迷藏呢，學長要一起嗎？
11060016,你在學園的小徑上散步，遠遠看見前方有個美麗的人影坐在樹蔭下，你情不自禁地走上前去，發現原來是華佗同學在看書，她看的書是？,《百種月見團子製作大全》,《獨家秘方——讓你的愛馬不再掉毛》,《稀有藥草在哪裡》
11060017,你在學園的小徑上散步，遠遠看見前方有個美麗的人影坐在樹蔭下，你情不自禁地走上前去，發現原來是嫦娥同學在看書，她看的書是？,《百種月見團子製作大全》,《獨家秘方——讓你的愛馬不再掉毛》,《稀有藥草在哪裡》
11060018,你在學園的小徑上散步，遠遠看見前方有個美麗的人影坐在樹蔭下，你情不自禁地走上前去，發現原來是烏列爾同學在看書，她看的書是？,《百種月見團子製作大全》,《獨家秘方——讓你的愛馬不再掉毛》,《稀有藥草在哪裡》
12060001,在戰鬥中，辰星學院與以下哪個學院互為克制關係？,修羅,曇華,風見
12060002,當學長在隊伍中編入六名辰星學院的同學時，會觸發以下哪個光環效果？,攻擊+20%，精准+18%,生命+20%，減傷率+25%,破甲+35%，格擋+30%
12060003,以下同學中，有一位同學的主動技能在施放的下一回合才會對敵方造成傷害，這位同學是？,加百列,烏列爾,后羿
12060004,嫦娥同學的主動技能會使目標暈眩，這項能力在面對哪位辰星學院的同學時是沒有作用的？,龐統,路西菲爾,水鏡
12060005,你遇到了一個血量非常高的敵人，有一位能夠按照敵方生命上限百分比造成傷害的戰姬希望學長將她編入隊伍，學長知道是哪位同學嗎？,華佗,路西菲爾,法正
12060006,這位同學戰敗了……等等，這位同學又站起來了！以下辰星學院的同學中，哪位同學的被動技能有復活的能力？,水鏡,嫦娥,米迦勒
