id,name,brief,desc
6418,Epée du Jugement,Antiquité,
6419,Balance,Antiquité,
6420,Balance,Antiquité,
6421,Balance,Antiquité,
6422,Balance,Antiquité,
6423,Balance,Antiquité,
6424,Balance,Antiquité,
6425,Clé du Paradis,Antiquité,
6426,Clé du Paradis,Antiquité,
6427,Clé du Paradis,Antiquité,
6428,Clé du Paradis,Antiquité,
6429,Clé du Paradis,Antiquité,
6430,Clé du Paradis,Antiquité,
6431,Cristal du Destin,Antiquité,
6432,Cristal du Destin,Antiquité,
6433,Cristal du Destin,Antiquité,
6434,Cristal du Destin,Antiquité,
6435,Cristal du Destin,Antiquité,
6436,Cristal du Destin,Antiquité,
6437,Ailes d'Icare,Antiquité,
6438,Ailes d'Icare,Antiquité,
6439,Ailes d'Icare,Antiquité,
6440,Ailes d'Icare,Antiquité,
6441,Ailes d'Icare,Antiquité,
6442,Ailes d'Icare,Antiquité,
7001,Bain de Soleil,Skin,Skin d'Iron Fist - Bain de Soleil
27001,Bain de Soleil,Skin,Skin d'Iron Fist - Bain de Soleil
7002,Code Source,Skin,Skin de Saint - Numéro Original
27002,Code Source,Skin,Skin de Saint - Code Source
7003,Reine des Mers,Skin,Skin de Wildtress - Reine des Mers
27003,Reine des Mers,Skin,Skin de Wildtress - Reine des Mers
7004,Ligne du Destin,Skin,Skin de Muppy - Ligne du Destin
27004,Ligne du Destin,Skin,Skin de Muppy - Ligne du Destin
7005,Habit de Sorcière,Skin,Skin de Dracula - Habit de Sorcière
27005,Habit de Sorcière,Skin,Skin de Dracula - Habit de Sorcière
7006,Élite de Bataille,Skin,Skin de Sonya - Élite de Bataille
27006,Élite de Bataille,Skin,Skin de Sonya - Élite de Bataille
7007,Maître du Karaté,Skin,Skin de Boxer - Maître du Karaté
27007,Maître du Karaté,Skin,Skin de Boxer - Maître du Karaté
7008,Alice en rêve,Skin,Skin de Gambler - Alice au Pays des Merveilles
27008,Alice en rêve,Skin,Skin de Gambler - Alice au Pays des Merveilles
7009,Reine des Neiges,Skin,Skin d'Amazon - Reine des Neiges
27009,Reine des Neiges,Skin,Skin d'Amazon - Reine des Neiges
7010,Carnaval de Noël,Skin,Skin de Lucifer - Carnaval de Noël
27010,Carnaval de Noël,Skin,Skin de Lucifer - Carnaval de Noël
7011,Lutin de Nôel,Skin,Skin de Michael - Lutin de Nôel
27011,Lutin de Nôel,Skin,Skin de Michael - Lutin de Nôel
7012,Fête Yukata,Skin,Skin d'Aquaris - Fête Yukata
27012,Fête Yukata,Skin,Skin d'Aquaris Fête Yukata
7013,Danse Givrée,Skin,Skin de Javelin - Danse Givrée
27013,Danse Givrée,Skin,Skin de Javelin - Danse Givrée
7014,Nouvel An,Skin,Skin de Prêtresse - Nouvel An
27014,Nouvel An,Skin,Skin de Prêtresse - Nouvel An
7015,Chérie,Skin,Skin d'Hottie - Chérie
27015,Chérie,Skin,Skin d'Hottie - Chérie
7016,Rose Chérie,Skin,Skin de Blowie - Rose Chérie
27016,Rose Chérie,Skin,Skin de Blowie - Rose Chérie
7017,Pluie de Cerise,Skin,Skin de Kong Ming - Pluie de Cerise
27017,Pluie de Cerise,Skin,Skin de Kong Ming - Pluie de Cerise
7018,Rose de Nuit,Skin,Skin de Dracula - Rose de Nuit
27018,Rose de Nuit,Skin,Skin de Dracula - Rose de Nuit
7019,Équinoxe,Skin,Skin d'Ennmaya - Équinoxe
27019,Équinoxe,Skin,Skin d'Ennmaya - Équinoxe
7020,Bisou Écarlate,Skin,Skin de Saint - Bisou Écarlate
27020,Bisou Écarlate,Skin,Skin de Saint - Bisou Écarlate
7021,Rose Sakura,Skin,Skin d'Iron Fist - Rose Sakura
27021,Rose Sakura,Skin,Skin d'Iron Fist - Rose Sakura
7022,Rose Glacée,Skin,Skin de Fencer - Rose Glacée
27022,Rose Glacée,Skin,Skin de Fencer - Rose Glacée
7023,Rose Blanche,Skin,Skin de Michael - Rose Blanche
27023,Rose Blanche,Skin,Skin de Michael - Rose Blanche
7024,Floraison,Skin,Skin de Sapphire - Floraison
27024,Floraison,Skin,Skin de Sapphire - Floraison
7025,Chasse de Pâques,Skin,Skin d'Angel - Chasse de Pâques
27025,Chasse de Pâques,Skin,Skin d'Angel - Chasse de Pâques
7026,Musique d'Amour,Skin,Skin de Kong Ming - Musique d'Amour
27026,Musique d'Amour,Skin,Skin de Kong Ming - Musique d'Amour
7027,Rose Rouge,Skin,Skin de Lucifer - Rose Rouge
27027,Rose Rouge,Skin,Skin de Lucifer - Rose Rouge
7028,Miaou Tueur,Skin,Skin d'Elfe Bourgeon - Miaou Tueur
27028,Miaou Tueur,Skin,Skin d'Elfe Bourgeon - Miaou Tueur
7029,Examen Ange,Skin,Skin de Michael - Examen Ange
27029,Examen Ange,Skin,Skin de Michael - Examen Ange
7030,Examen Humain,Skin,Skin de Saint - Examen Humain
27030,Examen Humain,Skin,Skin de Saint - Examen Humain
7031,Zongzi,Skin,Skin de Psychic - Zongzi
27031,Zongzi,Skin,Skin de Psychic - Zongzi
88888881,Cadre d'Avatar Champion de la Bataille de Guilde,Cadre d'Avatar,
88888882,Cadre d'Avatar Finaliste de la Bataille de Guilde,Cadre d'Avatar,
88888883,Cadre d'Avatar Demi Final de la Bataille de Guilde,Cadre d'Avatar,
88888884,Cadre d'Avatar Quart de Final de la Bataille de Guilde,Cadre d'Avatar,
88888885,Cadre d'Avatar\nHuitième de Finale de la Bataille de Guilde,Cadre d'Avatar,
8006,Vraie Promesse,Cadre d'Avatar,"Cadre d'Avatar obtenu dans l'événement ""Gagner les Cœurs"""
8007,Par défaut,Cadre d'Avatar,
9001,Rendez-vous sous le Cerisier,Skin de Fond,Le Skin de Fond d'Iron Fist être acquis dans l'événement exclusif et peut être mis comme fond d'écran.
11001,Skarivine,,
11002,Cayla,,
11003,Vanees,,
12001,Maidam,,
12002,Aegis,,
12003,Handana,,
13001,Lin Al,,
13002,Sorcière,,
13003,Stella,,
14001,Elloi,,
14002,Veila,,
14003,Yuri,,
21001,Talia,,
21002,Nasha,,
21003,Hancer,,
21004,Nono,,
22001,Roselle,,
22002,Hynel,,
22003,Fleur,,
22004,Meimi,,
23001,Boro,,
23002,Lana,,
23003,Sasuke,,
23004,Shamoke,,
24001,Pyra,,
24002,Octagirl,,
24003,Aeris,,
24004,Puny,,
31001,Poppi,,
31002,Jade,,
31003,Ursula,,
31004,Kitty,,
31005,Samurai,,
32001,Tula,,
32002,Edward,,
32003,King,,
32004,Donna,,
32005,Nobuna,,
33001,Annabelle,,
33002,Harley,,
33003,Magicien,,
33004,Caitlin,,
33005,Marynari,,
34001,Robin,,
34002,Sisha,,
34003,Mythra,,
34004,Athena,,
34005,Kenshin,,
35001,Reo,,
36001,Luna,,
41001,Zombia,,
41002,Flash,,
41003,Werewolf,,
41004,Nona,,
41005,Assassin,,
41006,Ashely,,
41007,Ninja,,
41008,Cynthia,,
42001,Miya,,
42002,Bidenty,,
42003,Boxer,,
42004,Lily,,
42005,Nagia,,
42006,Hypatia,,
42007,Quinie,,
42008,Haxie,,
43001,Nun,,
43002,Diva,,
43003,Liz,,
43004,Anna,,
43005,Oméga,,
43006,Lightin,,
43007,Iron Fist,,
43008,Ada,,
44001,Beary,,
44002,Litana,,
44003,Jelly,,
44004,Wandy,,
44005,Elvis,,
44006,Chainsaw,,
44007,Medusa,,
44008,Zoe,,
45001,Toy Girl,,
45002,Lisa,,
45003,Annie,,
46001,Androi,,
46002,Calista,,
46003,Selene,,
51001,Sapphire,,
51002,Gambler,,
51003,Succuba,,
51004,Dracula,,
51005,Wu Kong,,
51006,Fencer,,
51007,Wildtress,,
51008,Sakura,,
51009,Giana,,
51010,Ennmaya,,
52001,Hottie,,
52002,Blowie,,
52003,Chevalir,,
52004,Saint,,
52005,Javelin,,
52006,Geisha,,
52007,Sonya,,
52008,Caitlyn,,
52009,Guan Yin,,
52010,Libraria,,
53001,Prêtresse,,
53002,Alice,,
53003,Nia,,
53004,Muppy,,
53005,Nobunaga,,
53006,Silvia,,
53007,Turin,,
53008,Toyo,,
53009,Masamune,,
53010,Hexa,,
53011,Psychic,,
54001,Amazon,,
54002,Elfe Bourgeon,,
54003,Himoto,,
54004,Nani,,
54005,Lavia,,
54006,Susan,,
54007,Aquaris,,
54008,Kong Ming,,
54009,Pandaria,,
54010,Linky,,
55001,Valasaki,,
55002,Amelia,,
55003,Wraith,,
55004,Scythe,,
55005,Lucifer,,
56001,Angel,,
56002,Gabriel,,
56003,Michael,,
56004,Phénix,,
541001,Zombia,,
541002,Flash,,
541003,Werewolf,,
541004,Nona,,
541005,Assassin,,
541006,Ashely,,
541007,Ninja,,
541008,Cynthia,,
542001,Miya,,
542002,Bidenty,,
542003,Boxer,,
542004,Lily,,
542005,Nagia,,
542006,Hypatia,,
542007,Quinie,,
542008,Haxie,,
543001,Nun,,
543002,Diva,,
543003,Liz,,
543004,Anna,,
543005,Oméga,,
543006,Lightin,,
543007,Iron Fist,,
543008,Ada,,
544001,Beary,,
544002,Litana,,
544003,Jelly,,
544004,Wandy,,
544005,Elvis,,
544006,Chainsaw,,
544007,Medusa,,
544008,Zoe,,
545001,Toy Girl,,
545002,Lisa,,
545003,Annie,,
546001,Androi,,
546002,Calista,,
546003,Selene,,
651001,Sapphire,,
651002,Succuba,,
651003,Dracula,,
651004,Wu Kong,,
651005,Wildtress,,
651006,Giana,,
651007,Chevalir,,
651008,Javelin,,
651009,Geisha,,
651010,Caitlyn,,
651011,Ennmaya,,
651012,Cynthia,,
651013,Werewolf,,
651014,Nona,,
651015,Gambler,,
651016,Fencer,,
651017,Sakura,,
652001,Guan Yin,,
652002,Libraria,,
652003,Nia,,
652004,Nobunaga,,
652005,Silvia,,
652006,Toyo,,
652007,Masamune,,
652008,Hexa,,
652009,Amazon,,
652010,Elfe Bourgeon,,
652011,Blowie,,
652012,Lily,,
652013,Hottie,,
652014,Saint,,
652015,Boxer,,
652016,Haxie,,
652017,Sonya,,
653001,Himoto,,
653002,Lavia,,
653003,Susan,,
653004,Pandaria,,
653005,Amelia,,
653006,Angel,,
653011,Alice,,
653012,Lightin,,
653013,Diva,,
653014,Iron Fist,,
653015,Muppy,,
653016,Prêtresse,,
653017,Psychic,,
654011,Nani,,
654012,Elvis,,
654013,Aquaris,,
654014,Zoe,,
654015,Medusa,,
654016,Kong Ming,,
654017,Linky,,
655011,Scythe,,
655012,Annie,,
655013,Lucifer,,
655014,Wraith,,
656011,Gabriel,,
656012,Selene,,
656013,Michael,,
656014,Phénix,,
751001,Succuba,,
751002,Dracula,,
751003,Wildtress,,
751004,Giana,,
751005,Sapphire,,
751006,Wu Kong,,
751007,Ennmaya,,
751008,Gambler,,
751009,Fencer,,
751010,Sakura,,
752001,Chevalir,,
752002,Javelin,,
752003,Geisha,,
752004,Caitlyn,,
752005,Guan Yin,,
752006,Libraria,,
752007,Blowie,,
752008,Hottie,,
752009,Saint,,
752010,Sonya,,
753001,Nia,,
753002,Nobunaga,,
753003,Silvia,,
753004,Toyo,,
753005,Masamune,,
753006,Hexa,,
753007,Alice,,
753008,Muppy,,
753009,Prêtresse,,
753010,Psychic,,
754001,Amazon,,
754002,Elfe Bourgeon,,
754003,Himoto,,
754004,Lavia,,
754005,Susan,,
754006,Pandaria,,
754007,Nani,,
754008,Aquaris,,
754009,Kong Ming,,
754010,Linky,,
755001,Amelia,,
755002,Scythe,,
755003,Lucifer,,
755004,Wraith,,
756001,Angel,,
756002,Gabriel,,
756003,Michael,,
756004,Phénix,,
1000001,Rhum,Cadeau,"La réserve spéciale de l'académie, c'est délicieux, utilisé fréquemment pour les grands rituels magiques. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000002,Pudding,Cadeau,"Un pudding bien fait, servi tous les jours avec du thé noir pour la séance de thé de l'après-midi. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000003,Potion Mystérieuse,Cadeau,"Trésor Légendaire perdu de la Maison Fée. Avec une seule goutte, celui qui l'utilise pourrait devenir intensément plus puissant. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000004,Café,Cadeau,"Un café fait avec amour, fait avec le cœur pas l'esprit, pour le rendre plus savoureux et moelleux. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000005,Boisson Démoniaque,Cadeau,"La légende dit qu'après la consommation, vous pourriez obtenir des pouvoirs maléfiques, mais il se pourrait que ce ne soit qu'un mélange de fruits étranges. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000006,Croissant,Cadeau,Pain dont la cuisson l'a rendu dur. Pour les gens normaux cela n'est pas consommable avant de le mettre dans du liquide. Il est souvent utilisé en première ligne au combat. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)
1000007,Dinde,Cadeau,"Nourriture délivrée quotidiennement à la cafétéria, l'origine des ingrédients est inconnue. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000008,Frites,Cadeau,"Des frites découpées par une Fille spéciale, elle dit que toutes les calories ont été brûlées, donc techniquement c'est de la nourriture saine. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000009,Poisson en Conserve,Cadeau,Personne ne peut deviner l'odeur qu'il y a à l'intérieur avant de l'ouvrir. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)
1000010,Thé Noir,Cadeau,Un set de thé contenant du thé noir. C'est le choix de boisson préférée de beaucoup de Filles. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)
1000011,Bloc Dinosaure,Cadeau,Un dinosaure fabriqué à partir de petits cubes. Il est très flexible et peut bouger avec de la magie. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)
1000012,Marionnette,Cadeau,Une marionnette fabriquée avec des matériaux étranges dont la texture est proche du tissu et du métal. aucune idée de l'utilité de cet objet. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)
1000013,SF Pistolet,Cadeau,"Un jouet en forme de pistolet, il tire de l'eau à une distance de 5 mètres max. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000014,Pièce d'Échec,Cadeau,"Un cavalier, souvent utilisé à l'Académie Yume comme PNJ dans le jeu connu ""Fille et Dragon"". Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000015,Yo-yo,Cadeau,"Jouet semblant peu onéreux, ne pouvant pas faire beaucoup de mouvement, pouvant cependant être utilisé comme arme à distance. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000016,Manette de Jeu,Cadeau,Vieille manette de jeu. L'extérieur est fait avec des matériaux fluorescents. Attire l'attention des enfants la nuit. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)
1000017,Chat Chanceux,Cadeau,"Spécialité du marché, la rumeur dit qu'il apporte de la chance aux acheteurs lorsqu'ils veulent acheter des capsules avancées à bas prix. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000018,Fronde,Cadeau,Jouet de luxe utilisant des capsules avancées comme munition. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)
1000019,Coussin Tête de Mort,Cadeau,"Coussin ayant une tête de mort magnifique peint dessus, aimé par beaucoup de Filles. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000020,Parapluie,Cadeau,"Parapluie ressemblant à un katana, ou serait-ce un katana ressemblant à un parapluie ? Seul le propriétaire le sera. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000021,Rose Mythique,Cadeau,"La légende dit que cela a été créé dans une mystérieuse explosion, lorsque les gens regardent cet objet, il disparaitra temporairement, mais vous pourrez toujours le sentir. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000022,Ruban,Cadeau,Un bracelet rouge apportant de la chance à son propriétaire. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)
1000023,Oreille de Renard,Cadeau,Sont-elles réelles ou est-ce juste un bandana ? Ces oreilles font poser beaucoup de questions. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)
1000024,Pince à Cheveux Marguerite,Cadeau,"Les gens disent que le porter vous rendra joyeux, certains disent qu'il absorbe la puissance des rayons de soleil. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000025,Amulette Rare,Cadeau,Fait ressentir à son porteur une puissance pure et originale. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)
1000026,Auréole d'Ange,Cadeau,"Donne la puissance des anges à son propriétaire pendant une courte période, c'est aussi un accessoire obligatoire pour se déguiser en ange. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000027,Masque de Vampire,Cadeau,"Un masque noir avec des dents, la rumeur dit qu'il n'est pas possible de l'enlever après l'avoir mis, et il vous transformera en vampire. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000028,Masque de Renard,Cadeau,"Avec la bénédiction d'Inari, les vrais croyants obtiennent un boost de pouvoir. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000029,Écharpe,Cadeau,Une écharpe rouge rendant les gens plus dynamiques. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)
1000030,SF Lunettes,Cadeau,"Des lunettes avec un casque, le porteur se sent très cool avec ça sur la tête. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000031,Bouteille Écologique,Cadeau,"Une petite bouteille avec un sigle écolo dessus, vous donne de l'espoir dans l'univers ou dans un désert. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000032,Stylo,Cadeau,"Stylo sympa, mais nécessitant de l'encre spécial. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000033,Cactus,Cadeau,Plante verte facile à s'en occuper pour les fainéants. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)
1000034,Livre d'Histoire,Cadeau,"Les notes d'une société mystérieuse, contenant beaucoup d'histoires inconnues. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000035,Appareil Photo,Cadeau,"Beaucoup d'innovations technologiques ont perdu leur place à cause de la magie, l'appareil photo n'en fait pas partie. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000036,Kunaï,Cadeau,"Une des armes les plus communes du ninja, utilisée comme décoration sur le campus. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000037,Outil de Réparation,Cadeau,"Outil utilisé pour réparer toutes sortes de machines, la demande dépasse largement l'offre. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000038,Lampe de Poche,Cadeau,"Une lampe de poche unique, personne ne sait que la lumière qu'elle donne ne sert pas seulement à éclairer, mais aussi à détruire. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
1000039,Carnet de Note,Cadeau,Un carnet de note légendaire contenant tous les secrets du campus. C'est un objet sacré dans les mains d'une personne intelligente. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)
1000040,Éventail Cerise,Cadeau,"Un éventail avec un dessin de cerisier japonais, il est dit qu'on peut faire un cyclone avec s'il est utilisé avec des pouvoirs magiques. Peut-être donné à une Fille comme cadeau pour augmenter l'intimité (si elle ne le déteste pas)"
7032,Examen Monstre,Skin,Skin de Nobunaga - Examen Monstre
27032,Examen Monstre,Skin,Skin de Nobunaga - Examen Monstre
7033,Fraîcheur,Skin,Skin d'Amelia - Fraîcheur
27033,Fraîcheur,Skin,Skin d'Amelia - Fraîcheur
1026,Avatar du Jeu de Plage,Avatar Spécial,Avatar du Jeu de Plage
8008,Été Frais,Cadre d'Avatar,Le Cadre d'Avatar peut être obtenu dans l'événement à temps limité.
7034,Mer d'Azur,Skin,Skin de Fencer - Mer d'Azur
27034,Mer d'Azur,Skin,Skin de Fencer - Mer d'Azur
7035,Examen Démon,Skin,Skin de Lucifer - Examen Démon
27035,Examen Démon,Skin,Skin de Lucifer - Examen Démon
55,Coupon de Défi,Certificat de Participation du Défi de Personnage,À utiliser pour participer au défi
56,Coupon Gâteau,Matériel d'Événement,À utilisé pour obtenir des récompenses durant l'événement de fabrication de gâteau. Inutilisable après l'événement. Utilisez-le dans le temps imparti.
1166,Epée de Guerrière,Arme,
2166,Armure de Guerrière,Vêtements,
3166,Casque de Guerrière,Accessoire,
4166,Bottes de Guerrières,Bas,
1266,Bâton de Mage,Arme,
2266,Robe de Mage,Vêtements,
3266,Couronne de Mage,Accessoire,
4266,Bottes de Mage,Bas,
1366,Arc de l'Éclaireur,Arme,
2366,Corsage de l'Éclaireur,Vêtements,
3366,Carquois de l'Éclaireur,Accessoire,
4366,Bottes de l'Éclaireur,Bas,
1466,Dague de l'Assassin,Arme,
2466,Capuche de l'Assassin,Vêtements,
3466,Anneau de l'Assassin,Accessoire,
4466,Bottes de l'Assassin,Bas,
1566,Potion de Prêtre,Arme,
2566,Chant de Prêtre,Vêtements,
3566,Croix de Prêtre,Accessoire,
4566,Bottes de Prêtre,Bas,
6443,Cœur d'Épine,Antiquité,
6444,Cœur d'Épine,Antiquité,
6445,Cœur d'Épine,Antiquité,
6446,Cœur d'Épine,Antiquité,
6447,Cœur d'Épine,Antiquité,
6448,Cœur d'Épine,Antiquité,
7036,Ruineuse de Fête,Skin,Skin de Sonya - Ruineuse de Fête
27036,Ruineuse de Fête,Skin,Skin de Sonya - Ruineuse de Fête
7037,Gourmande,Skin,Skin de Gabriel - Gourmande
27037,Gourmande,Skin,Skin de Gabriel - Gourmande
57,Énergie,Matériel d'Événement,À utiliser dans la Machine à Sous d'Anniversaire durant l'événement
58,Point de la Machine à Sous d'Anniversaire,Matériel d'Événement,À utiliser pour obtenir des récompenses dans la Boutique Événement de la Machine à Sous d'Anniversaire. Inéchangeable après l'événement. Utilisez-le dans le temps imparti.
7038,Surfeuse,Skin,Skin d'Hexa - Surfeuse
27038,Surfeuse,Skin,Skin d'Hexa - Surfeuse
7039,Mariée Divine,Skin,Skin de Prêtresse - Mariée Divine
27039,Mariée Divine,Skin,Skin de Prêtresse - Mariée Divine
1027,Avatar Exclusif d'Anniversaire,Avatar Spécial,Avatar Exclusif d'Anniversaire
7040,Quartz Rose,Skin,Skin d'Hexa - Quartz Rose
27040,Quartz Rose,Skin,Skin d'Hexa - Quartz Rose
1028,Avatar Glace de l'Eté,Avatar Spécial,Avatar du Jeu de Plage
8009,Soirée Piscine,Cadre d'Avatar,Le Cadre d'Avatar peut être obtenu dans l'événement à temps limité.
7041,Brise de l'Océan,Skin,Skin d'Amazon - Brise de l'Océan
27041,Brise de l'Océan,Skin,Skin d'Amazon - Brise de l'Océan
7042,Examen Fée,Skin,Skin de Kong Ming - Examen Fée
27042,Examen Fée,Skin,Skin de Kong Ming - Examen Fée
7043,Fantaisie d'Été,Skin,Skin de Wraith - Fantaisie d'Été
27043,Fantaisie d'Été,Skin,Skin de Wraith - Fantaisie d'Été
7044,Kimono Blanc,Skin,Skin de Nobunaga - Kimono Blanc
27044,Kimono Blanc,Skin,Skin de Nobunaga - Kimono Blanc
7045,Examen Fantôme,Skin,Skin de Dracula - Examen Fantôme
27045,Examen Fantôme,Skin,Skin de Dracula - Examen Fantôme
9101,Phénix·Yeah,Émoji de Tchat,「Yeah」Émoji de Tchat de Phénix
9102,Iron Fist·Chagrin,Émoji de Tchat,「Pauvre」Émoji de Tchat d'Iron Fist
9103,Linky·Confiance Totale,Émoji de Tchat,「Confiance Totale」Émoji de Tchat de Linky
9104,Saint·Réfléchir,Émoji de Tchat,「En train de réfléchir」Émoji de Tchat de Saint
7046,Plume Légère,Skin,Skin d'Angel - Plume Légère
27046,Plume Légère,Skin,Skin d'Angel - Plume Légère
7047,Visage Séduisant,Skin,Skin d'Hottie - Visage Séduisant
27047,Visage Séduisant,Skin,Skin d'Hottie - Visage Séduisant
7048,Flamme Éternelle,Skin,Skin de Phénix - Flamme Éternelle
27048,Flamme Éternelle,Skin,Skin de Phénix - Flamme Éternelle
7049,Voile Gracieux,Skin,Skin de Wraith - Voile Gracieux
27049,Voile Gracieux,Skin,Skin de Wraith - Voile Gracieux
59,Lanterne de Fête,Matériel d'Événement,"Matériel Spécial, à utiliser pour obtenir des objets"
1029,Épée de Détermination,Avatar Spécial,Avatar de la Fête de l'Été
930177,Capsula 5 étoiles,Recruter une Fille,Collectez 50 Fragments pour recruter cette Fille
5641,Jade Dragon,,
5642,Jade Dragon,,
5643,Jade Dragon,,
5644,Jade Dragon,,
5645,Jade Dragon,,
5646,Jade Dragon,,
5647,Jade Dragon,,
5648,Jade Dragon,,
5649,Jade Dragon,,
5650,Jade Dragon,,
5651,Jade Dragon,,
5652,Jade Dragon,,
5653,Jade Dragon,,
5654,Jade Dragon,,
5655,Jade Dragon,,
5656,Jade Dragon,,
5657,Jade Dragon,,
5658,Jade Dragon,,
5659,Jade Dragon,,
5660,Jade Dragon,,
7050,Musique de l'Âme,Skin,Lucifer Skin - Musique de l'Âme
27050,Musique de l'Âme,Skin,Lucifer Skin - Musique de l'Âme
7051,Concert de Rock,Skin,Skin de Nani - Concert de Rock
27051,Concert de Rock,Skin,Skin de Nani - Concert de Rock
8010,Performance de la Bande,Cadre d'Avatar,"Cadre d'Avatar Exclusif du Show en direct, obtenu dans l'événement à temps limité."
52011,Capsula,,
652018,Capsula,,
752011,Capsula,,
7052,Tambour,Skin,Skin d'Hexa - Tambour
27052,Tambour,Skin,Skin d'Hexa - Roulement de Tambour
6449,Ombrelle de Fusion,,
6450,Ombrelle de Fusion,,
6451,Ombrelle de Fusion,,
6452,Ombrelle de Fusion,,
6453,Ombrelle de Fusion,,
6454,Ombrelle de Fusion,,
60,Boulette de la Lune,Matériel d'Événement,"Matériel Spécial, à utiliser pour obtenir des objets"
7053,Rugissement,Skin,Skin d'Amazon - Rugissement
27053,Rugissement,Skin,Skin d'Amazon - Rugissement
7054,Lapin de Maison,Skin,Skin de Caitlyn - Lapin de Maison
27054,Lapin de Maison,Skin,Skin de Caitlyn - Lapin de Maison
1030,Performance de la Bande,Avatar Spécial,Avatar de la Fête de la Musique
20001031,Feuille d'Érable,Avatar Spécial,Avatar de la Fête de la Lune
7055,Opération Secrète,Skin,Skin de Linky - Opération Secrète
27055,Opération Secrète,Skin,Skin de Linky - Opération Secrète
930178,Valeera 5 étoiles,Recruter une Fille,Collectez 50 Fragments pour recruter cette Fille
7056,Grimoire,Skin,Skin de Valeera - Grimoire
27056,Grimoire,Skin,Skin de Valeera - Grimoire
7057,Plume Radieuse,Skin,Skin de Phénix - Plume Radieuse
27057,Plume Radieuse,Skin,Skin de Phénix - Plume Radieuse
8011,Chercheur,Cadre d'Avatar,"Cadre d'Avatar pour l'événement Recherche des Classiques, peut être obtenu dans l'événement à temps limité."
8012,Arène Ultime Top 64,Cadre d'Avatar,Défi-Atteindre le Top 64 dans l'Arène Ultime
8013,Arène Ultime Top 8,Cadre d'Avatar,Défi-Atteindre le Top 8 dans l'Arène Ultime
8014,Arène Ultime Top 4,Cadre d'Avatar,Défi-Atteindre le Top 4 dans l'Arène Ultime
